
687A Timeless_Beauty VanCleef&Arpels Watch Switzerland Gold 18 5000.00 false
257G Classic_Heart Pandora Ring Italy Gold 12 150.00 false
346S Vintage_Elegance Pandora Earrings China Silver 12 99.00 true
951L Butterfly_Kisses Bvlgari Bracelet Italy Gold 10 1800.00 true
482E Sparkling_Snowflake Pandora Charm Thailand Silver 9 70.00 false
592X Angel_Wings Pandora Charm China Platinum 14 50.00 true
648D Crystal_Circle Cartier Watch Italy Gold 20 1000.00 true
701H Sliding_Bracelet Pandora Bracelet England Silver 10 40.00 false
817I Mickey_Mouse Pandora Charm Germany Platinum 10 75.00 true
951Q Reflexion_Choker Tifanny&Co Necklace India Gold 23 100.00 false
109W Clear_Ice Cartier Necklace Mexico Silver 30 500.00 true
212F Diamond_Dreams Tiffany&Co. Necklace USA Platinum 7 2000.00 false
389Q Chic_Charm Cartier Bracelet France Gold 15 800.00 true
467E Pearl_Delight Mikimoto Earrings Japan Gold 8 450.00 true
592Q Enchanted_Locket HarryWinston Necklace Switzerland Platinum 5 3000.00 false
723R Starry_Night Bulgari Ring Italy Gold 3 1000.00 true
835S Ocean_Breeze Chopard Earrings Switzerland Silver 9 1200.00 false
107T Celestial_Glow Piaget Necklace Switzerland Gold 12 250.00 false
218P Royal_Radiance Graff Ring UK Gold 15 150.00 false908I Luminous Cartier Bracelet Italy Silver 10 8.00 true
888U Locked_Heart Pandora Earrings France Silver 10 8.00 false
456Y Steph_Neck Pandora Necklace Italy Silver 5 4.00 true
